Registrikood;Nimi;Liik;Registreeritud käibemaksukohustuslaste registrisse;Maakond;EMTAK tegevusvaldkond, mis on EMTAKi struktuuris tähistatud tähtkoodiga;Riiklikud Maksud;Tööjõumaksud Ja Maksed;Käive;Töötajate arv
10865988;MAGNETIC MRO AS;Äriühing;jah;Harju maakond;TÖÖTLEV TÖÖSTUS;1078017,12;959832,29;12321149,93;312,00
10066299;ADVEN EESTI AS;Äriühing;jah;Harju maakond;ELEKTRIENERGIA, GAASI, AURU JA KONDITSIONEERITUD ?HUGA VARUSTAMINE;1422152,55;226136,55;8998788,80;74,00
10165452;MECRO, AS;Äriühing;jah;Harju maakond;"HULGI- JA JAEKAUBANDUS; MOOTORS?IDUKITE JA MOOTORRATASTE REMONT";1460330,21;716058,83;24872529,66;237,00
10173188;TAMRO EESTI OÜ;Äriühing;jah;Harju maakond;"HULGI- JA JAEKAUBANDUS; MOOTORS?IDUKITE JA MOOTORRATASTE REMONT";1995755,26;286799,22;46120770,24;96,00
10199349;RAMIRENT BALTIC AS;Äriühing;jah;Harju maakond;HALDUS- JA ABITEGEVUSED;1431522,65;450573,03;5159890,16;152,00
10349560;TALLINNA LENNUJAAM, AS;Äriühing;jah;Harju maakond;VEONDUS JA LAONDUS;1193155,63;1085427,08;6528342,67;367,00
10114029;LEMMINKÄINEN EESTI AS;Äriühing;jah;Harju maakond;EHITUS;1181553,07;845302,29;10317878,73;287,00
11016903;EURO WORK, OÜ;Äriühing;jah;Harju maakond;HALDUS- JA ABITEGEVUSED;1035504,11;847895,88;4277308,64;293,00
10586863;AS EKSPRESS MEEDIA;Äriühing;jah;Harju maakond;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;1042542,88;821858,22;4869041,39;303,00
10180761;ONNINEN, AS;Äriühing;jah;Harju maakond;"HULGI- JA JAEKAUBANDUS; MOOTORS?IDUKITE JA MOOTORRATASTE REMONT";1307282,94;354518,15;11695236,37;131,00
10788733;RIIGI KINNISVARA AS;Äriühing;jah;Harju maakond;KINNISVARAALANE TEGEVUS;1147468,37;760837,66;24444331,67;283,00
10756673;OSAÜHING OSULA GRAANUL;Äriühing;jah;Harju maakond;TÖÖTLEV TÖÖSTUS;1480083,76;80574,33;11699946,65;31,00
10098158;E-BETOONELEMENT, AS;Äriühing;jah;Harju maakond;TÖÖTLEV TÖÖSTUS;1271685,89;850000,62;9242600,90;329,00
10722319;ELTEL NETWORKS AS;Äriühing;jah;Harju maakond;EHITUS;1349775,78;800978,23;5953837,44;311,00
11399985;ELEKTRUM EESTI OÜ;Äriühing;jah;Harju maakond;ELEKTRIENERGIA, GAASI, AURU JA KONDITSIONEERITUD ?HUGA VARUSTAMINE;1751218,63;54082,75;20036633,34;21,00
